Unnamed: 0,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2023-12-1,14.9,33.5,0.0,,,E,48.0,04:47,23.2,50.0,,ENE,24,,32.8,23.0,,W,11,
,2023-12-2,16.1,26.9,0.0,,,W,44.0,17:37,21.8,66.0,,WNW,11,,24.8,49.0,,W,19,
,2023-12-3,16.2,25.2,0.0,,,W,39.0,10:56,20.2,72.0,,W,13,,24.0,50.0,,W,20,
,2023-12-4,14.9,25.3,0.0,,,SW,41.0,13:04,21.6,64.0,,WSW,15,,23.8,51.0,,W,22,
,2023-12-5,14.5,28.8,0.0,,,E,35.0,08:07,19.5,67.0,,E,20,,27.7,36.0,,S,6,
,2023-12-6,14.6,33.1,0.0,,,E,41.0,02:57,23.3,43.0,,E,19,,31.2,34.0,,WSW,19,
,2023-12-7,14.0,25.6,,,,SW,41.0,15:58,19.8,62.0,,SW,7,,25.0,45.0,,SW,20,
,2023-12-8,12.1,24.9,0.0,,,ESE,59.0,22:26,17.7,55.0,,SE,11,,23.7,43.0,,WSW,20,
,2023-12-9,10.5,25.8,,,,E,69.0,07:19,17.0,47.0,,E,30,,24.8,20.0,,E,20,
,2023-12-10,10.8,28.4,,,,E,76.0,01:11,18.5,41.0,,E,28,,27.4,15.0,,E,20,
,2023-12-11,11.4,30.8,0.0,,,E,46.0,00:42,20.2,42.0,,E,26,,30.2,19.0,,ESE,11,
,2023-12-12,15.5,32.7,0.0,,,ENE,41.0,07:23,21.7,50.0,,ENE,19,,32.0,23.0,,S,11,
,2023-12-13,17.8,30.4,0.0,,,W,39.0,14:23,26.8,27.0,, ,Calm,,28.7,25.0,,SW,19,
,2023-12-14,14.0,29.4,0.0,,,E,52.0,02:55,20.3,57.0,,E,19,,28.4,27.0,,S,9,
,2023-12-15,11.9,30.7,,,,E,52.0,00:28,20.5,47.0,,E,24,,29.8,18.0,,E,9,
,2023-12-16,14.1,34.5,0.0,,,E,50.0,05:00,22.7,45.0,,ENE,24,,33.7,23.0,,SE,6,
,2023-12-17,17.6,32.4,0.0,,,E,59.0,22:43,23.6,51.0,,E,17,,31.9,30.0,,SSW,9,
,2023-12-18,13.2,28.5,,,,E,72.0,07:16,19.1,54.0,,E,31,,27.9,27.0,,ESE,9,
,2023-12-19,12.6,29.6,,,,E,65.0,04:06,19.0,49.0,,E,31,,28.2,30.0,,ENE,31,
,2023-12-20,15.6,34.4,0.0,,,ESE,65.0,22:23,23.3,40.0,,E,28,,33.7,19.0,,ENE,24,
,2023-12-21,18.8,34.9,0.0,,,E,69.0,05:59,25.2,32.0,,ENE,33,,33.2,20.0,,E,24,
,2023-12-22,19.4,31.3,0.0,,,E,52.0,02:58,26.0,34.0,,ENE,19,,27.7,39.0,,WSW,19,
,2023-12-23,16.6,33.0,0.0,,,E,59.0,22:15,23.6,43.0,,E,17,,32.2,25.0,,SSE,13,
,2023-12-24,13.0,33.3,0.0,,,E,63.0,02:15,20.8,50.0,,ENE,28,,32.6,22.0,,NE,9,
,2023-12-25,16.9,36.0,0.0,,,ENE,41.0,00:31,28.2,32.0,,NE,17,,34.0,23.0,,WSW,19,
,2023-12-26,17.9,26.8,0.0,,,WSW,41.0,15:14,20.0,77.0,,WSW,15,,25.7,42.0,,W,20,
,2023-12-27,14.2,26.2,0.0,,,ESE,59.0,23:06,19.4,60.0,,SE,7,,25.0,46.0,,SW,17,
,2023-12-28,15.1,27.9,0.0,,,ESE,70.0,02:54,17.9,65.0,,E,30,,27.0,34.0,,SE,22,
,2023-12-29,14.0,29.5,0.0,,,ENE,65.0,02:09,19.7,59.0,,E,33,,28.1,36.0,,ENE,26,
,2023-12-30,14.3,33.1,0.0,,,E,69.0,07:07,22.5,52.0,,ENE,37,,32.0,28.0,,SE,17,
,2023-12-31,16.8,32.9,0.0,,,E,41.0,01:02,23.6,53.0,,ENE,9,,31.8,27.0,,SSW,13,
,2024-02-1,22.9,42.1,0.0,,,W,41.0,13:19,31.5,29.0,,NE,19,,40.8,15.0,,WSW,20,
,2024-02-2,25.4,41.4,0.0,,,WSW,41.0,13:35,33.7,27.0,,ENE,15,,39.5,18.0,,WSW,20,
,2024-02-3,21.9,33.5,0.0,,,SSW,43.0,15:48,26.6,42.0,,ESE,6,,30.4,40.0,,SW,17,
,2024-02-4,12.4,25.8,0.6,,,SSE,41.0,02:45,15.6,61.0,,SSE,15,,24.3,30.0,,S,11,
,2024-02-5,11.6,26.4,0.0,,,E,48.0,09:18,17.7,48.0,,ENE,20,,25.1,25.0,,E,17,
,2024-02-6,13.1,30.6,0.0,,,E,52.0,03:19,19.8,45.0,,ENE,33,,29.5,19.0,,ENE,20,
,2024-02-7,14.6,34.5,0.0,,,ENE,44.0,02:25,23.9,37.0,,ENE,22,,33.6,13.0,,ENE,15,
,2024-02-8,19.2,38.0,0.0,,,ENE,41.0,07:50,27.4,24.0,,ENE,20,,36.7,10.0,,NNE,11,
,2024-02-9,20.5,40.2,0.0,,,E,39.0,01:56,29.1,26.0,,ENE,20,,39.5,9.0,,N,7,
,2024-02-10,23.0,40.9,0.0,,,W,43.0,15:43,31.7,19.0,,NE,20,,39.9,10.0,,W,19,
,2024-02-11,23.1,39.2,0.0,,,SE,33.0,00:40,30.7,29.0,,E,6,,38.1,14.0,,W,19,
,2024-02-12,19.0,34.9,0.0,,,ENE,54.0,23:32,23.1,56.0,,E,22,,34.1,27.0,,S,11,
,2024-02-13,13.2,31.9,0.0,,,ENE,67.0,02:26,19.7,49.0,,ENE,24,,31.1,14.0,,E,20,
,2024-02-14,13.6,34.4,0.0,,,ENE,52.0,03:16,20.3,52.0,,ENE,24,,33.3,20.0,,E,13,
,2024-02-15,19.7,40.4,0.0,,,ENE,44.0,05:39,27.2,34.0,,ENE,24,,39.3,15.0,,SSW,7,
,2024-02-16,18.6,29.3,0.0,,,NW,31.0,01:52,23.4,74.0,,NW,9,,28.5,44.0,,W,13,
,2024-02-17,17.0,37.1,0.0,,,E,41.0,07:36,22.7,65.0,,ENE,19,,37.0,19.0,,WSW,7,
,2024-02-18,20.9,40.2,0.0,,,NE,46.0,10:25,25.1,51.0,,ENE,19,,38.6,19.0,,NE,17,
,2024-02-19,23.9,41.9,0.0,,,ENE,52.0,05:05,26.3,44.0,,ENE,26,,38.2,12.0,,WNW,28,
,2024-02-20,24.5,39.3,0.0,,,WNW,39.0,12:03,32.4,21.0,,NW,17,,38.5,18.0,,W,19,
,2024-02-21,20.2,27.7,0.0,,,WSW,39.0,07:55,23.2,75.0,,W,17,,24.3,75.0,,WSW,19,
,2024-02-22,13.8,29.5,0.0,,,NE,69.0,22:35,18.5,56.0,,E,30,,28.7,24.0,,E,24,
,2024-02-23,14.1,35.5,0.0,,,ENE,70.0,00:56,19.8,56.0,,ENE,39,,33.6,26.0,,ENE,15,
,2024-02-24,19.6,23.7,1.2,,,WSW,78.0,02:51,19.6,94.0,,SW,17,,23.1,76.0,,WSW,6,
,2024-02-25,16.4,20.5,1.6,,,ENE,59.0,19:07,17.1,87.0,,ENE,26,,17.9,97.0,,ENE,19,
,2024-02-26,16.9,30.5,5.4,,,ENE,41.0,00:11,20.4,87.0,,ENE,17,,30.5,49.0,,SSW,7,
,2024-02-27,14.3,28.9,0.0,,,SW,43.0,05:06,17.3,63.0,,SSE,15,,28.2,18.0,,S,11,
,2024-02-28,14.7,29.5,0.0,,,NE,43.0,08:04,19.8,59.0,,NE,17,,27.0,39.0,,WSW,19,
,2024-02-29,14.1,33.2,0.0,,,ENE,54.0,22:31,20.4,58.0,,ENE,24,,32.9,24.0,,SE,11,
,2024-01-1,13.9,29.5,0.0,,,ESE,44.0,22:53,20.4,57.0,,SE,7,,28.1,38.0,,WSW,19,
,2024-01-2,14.4,26.0,0.0,,,ENE,69.0,22:19,19.3,71.0,,ENE,24,,24.5,49.0,,ENE,20,
,2024-01-3,15.9,29.2,0.0,,,ENE,76.0,07:14,19.5,58.0,,E,28,,28.0,31.0,,ENE,28,
,2024-01-4,13.0,28.7,0.0,,,ENE,67.0,00:01,19.8,53.0,,ENE,30,,27.6,29.0,,ENE,24,
,2024-01-5,12.7,29.5,0.0,,,E,65.0,00:41,20.1,56.0,,ENE,26,,28.6,30.0,,ESE,11,
,2024-01-6,13.7,32.1,0.0,,,ENE,48.0,00:02,22.0,59.0,,NE,22,,30.3,29.0,,W,6,
,2024-01-7,16.9,34.8,0.0,,,NE,43.0,06:43,24.6,49.0,,NE,20,,34.4,24.0,,NE,7,
,2024-01-8,19.3,37.3,0.0,,,SW,44.0,16:16,28.6,37.0,,NE,17,,34.2,24.0,,WSW,24,
,2024-01-9,16.1,33.0,0.0,,,E,57.0,22:35,23.5,48.0,,S,13,,29.9,40.0,,SW,19,
,2024-01-10,13.7,31.7,0.0,,,E,48.0,00:20,21.2,55.0,,E,22,,31.3,29.0,,WSW,11,
,2024-01-11,15.3,34.7,0.0,,,E,61.0,23:58,24.2,52.0,,ENE,20,,33.9,24.0,,SW,9,
,2024-01-12,16.2,34.7,0.0,,,,,,22.7,60.0,,E,28,,33.9,34.0,,NE,17,
,2024-01-13,19.4,38.4,0.0,,,ENE,50.0,00:13,25.7,54.0,,NE,24,,37.7,23.0,,SE,6,
,2024-01-14,25.1,38.1,0.0,,,NE,59.0,10:17,32.7,36.0,,NE,20,,37.4,25.0,,NNE,15,
,2024-01-15,22.1,35.1,0.0,,,WNW,41.0,13:34,29.6,46.0,,N,9,,33.5,39.0,,W,11,
,2024-01-16,22.2,41.0,0.0,,,N,87.0,13:28,30.1,49.0,,NE,26,,27.9,68.0,,NNE,20,
,2024-01-17,19.7,32.9,34.8,,,NNE,44.0,00:03,27.1,62.0,,NNE,17,,29.5,56.0,,W,20,
,2024-01-18,18.7,25.1,0.0,,,W,46.0,12:14,21.4,67.0,,W,20,,24.1,54.0,,WSW,24,
,2024-01-19,15.8,28.2,0.0,,,WSW,35.0,14:33,21.7,63.0,,SW,9,,27.0,50.0,,SW,20,
