Unnamed: 0,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-01-1,15.7,30.8,,,,ESE,48.0,04:00,23.0,51,,SSW,4,,29.7,38,,WSW,22,
,2024-01-2,16.2,27.5,,,,E,59.0,21:37,22.0,62,,E,13,,25.9,43,,ESE,19,
,2024-01-3,17.5,30.9,,,,E,76.0,01:27,21.2,52,,E,30,,30.1,25,,E,20,
,2024-01-4,14.5,30.7,,,,E,72.0,22:47,22.2,46,,ENE,24,,29.1,26,,ENE,26,
,2024-01-5,14.4,32.5,,,,E,57.0,02:00,21.8,51,,ENE,26,,31.8,25,,ESE,11,
,2024-01-6,15.6,34.8,,,,ESE,56.0,03:46,24.1,51,,E,26,,33.7,21,,ENE,7,
,2024-01-7,18.7,37.3,,,,E,50.0,07:36,26.8,43,,E,24,,35.7,24,,SW,22,
,2024-01-8,21.8,39.7,,,,E,57.0,03:23,31.5,30,,NE,17,,36.0,21,,SW,28,
,2024-01-9,15.9,34.3,,,,E,59.0,23:14,22.9,52,,SW,22,,31.3,37,,SW,30,
,2024-01-10,15.6,33.4,,,,E,57.0,04:32,22.7,49,,E,17,,31.9,33,,SW,22,
,2024-01-11,17.3,36.1,,,,E,63.0,03:10,25.1,47,,ENE,11,,33.9,33,,WSW,22,
,2024-01-12,17.9,36.4,,,,E,70.0,20:52,23.8,56,,E,24,,35.1,30,,E,17,
,2024-01-13,20.9,40.4,,,,E,72.0,01:20,27.0,53,,E,33,,39.8,19,,ENE,6,
,2024-01-14,23.9,40.4,,,,NNE,56.0,11:17,33.1,36,,NNE,13,,38.3,22,,ENE,24,
,2024-01-15,21.6,38.4,,,,E,46.0,00:22,27.8,62,,WNW,4,,35.0,39,,WSW,15,
,2024-01-16,22.2,43.4,,,,N,89.0,13:19,31.5,46,,E,30,,32.6,45,,E,17,
,2024-01-17,22.0,34.5,,,,E,65.0,03:15,31.0,49,,NE,13,,32.1,47,,W,22,
