Unnamed: 0,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-03-1,19.3,34.2,0.0,9.4,11.6,S,41.0,01:16,24.1,49,1.0,SE,13,1012.9,33.1,28,1.0,SE,15,1009.8
,2024-03-2,19.9,30.2,0.0,11.0,3.8,NE,59.0,23:28,23.5,55,3.0,E,19,1011.0,29.2,42,7.0,E,22,1007.5
,2024-03-3,23.4,36.0,0.0,7.8,10.2,NE,54.0,01:21,29.1,53,2.0,NNE,15,1009.1,33.7,45,6.0,N,7,1006.9
,2024-03-4,21.2,29.1,0.2,7.2,6.2,SW,35.0,12:34,23.5,79,8.0,SSW,13,1013.1,28.6,54,2.0,WSW,15,1012.7
,2024-03-5,18.2,33.5,0.0,6.2,11.7,ENE,33.0,13:03,23.5,57,1.0,ESE,11,1018.2,32.6,35,0.0,SSE,11,1014.0
,2024-03-6,18.7,33.2,0.0,9.4,11.6,SE,46.0,00:26,22.8,58,1.0,ENE,17,1017.5,31.5,39,1.0,ENE,13,1013.5
,2024-03-7,22.1,36.7,0.0,9.4,11.6,,,,28.4,50,0.0,NE,9,1012.9,36.6,30,4.0,ESE,7,1007.5
,2024-03-8,24.3,30.0,0.0,8.2,8.1,WSW,43.0,15:01,28.9,56,7.0,NNW,7,1006.9,25.6,65,7.0,SW,26,1006.9
,2024-03-9,10.6,27.5,5.8,6.4,11.5,SSE,39.0,13:57,18.2,50,0.0,SSE,11,1016.5,26.4,26,0.0,SSE,9,1013.2
,2024-03-10,14.7,29.7,0.0,8.4,11.3,ENE,33.0,07:36,20.3,48,0.0,E,9,1017.5,28.6,24,0.0, ,Calm,1013.3
,2024-03-11,15.7,31.9,0.0,7.0,11.3,SSE,31.0,12:43,22.3,54,0.0,E,9,1016.7,31.1,26,0.0,SE,2,1012.5
