Unnamed: 0,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-03-1,19.3,34.8,0.0,,11.6,ESE,54.0,18:33,24.4,46.0,,ESE,30,1012.7,33.9,24.0,,ESE,33,1009.4
,2024-03-2,19.9,30.0,0.0,,3.8,NNE,80.0,20:43,23.6,53.0,,E,22,1010.9,29.6,38.0,4.0,NE,35,1007.1
,2024-03-3,23.6,36.1,0.4,,10.2,NNE,72.0,09:12,28.6,54.0,1.0,NNE,31,1008.7,34.7,41.0,,NNE,13,1006.6
,2024-03-4,21.0,29.3,0.0,,6.2,SW,41.0,16:10,23.1,80.0,8.0,SSW,22,1012.9,28.0,51.0,,WSW,20,1012.5
,2024-03-5,18.3,33.8,0.0,,11.7,ESE,41.0,21:40,23.2,56.0,,E,24,1017.8,33.3,32.0,,ESE,22,1013.7
,2024-03-6,19.2,33.6,0.0,,11.6,E,54.0,07:27,23.4,58.0,,E,24,1017.2,32.7,34.0,,ENE,28,1013.0
,2024-03-7,22.3,37.1,0.0,,11.6,E,48.0,00:56,28.9,48.0,,NE,17,1012.9,35.8,29.0,3.0,NNE,13,1007.3
,2024-03-8,25.6,30.5,0.0,,8.1,SW,56.0,15:44,30.1,51.0,7.0,NW,22,1006.7,25.5,63.0,7.0,SSW,33,1006.5
,2024-03-9,11.7,27.8,10.6,,11.5,S,41.0,00:01,18.9,49.0,3.0,SSE,22,1016.1,26.8,25.0,,SE,19,1012.9
,2024-03-10,14.6,29.9,0.0,,11.3,E,50.0,07:53,21.0,45.0,,E,24,1016.9,29.3,22.0,,SE,17,1012.9
,2024-03-11,16.4,31.8,0.0,,11.3,ESE,48.0,23:46,21.9,53.0,,SE,20,1016.5,30.9,25.0,,SE,20,1012.2
,2024-03-12,19.4,30.9,0.0,,4.2,E,46.0,00:57,22.5,55.0,8.0,E,22,1014.6,29.7,39.0,7.0,ENE,26,1010.4
,2024-03-13,20.8,31.9,0.0,,8.1,E,48.0,22:32,24.2,59.0,,ENE,22,1013.3,30.9,42.0,6.0,SE,19,1010.0
,2024-03-14,20.7,30.6,0.0,,9.7,E,52.0,08:59,24.5,62.0,8.0,E,26,1014.4,29.9,47.0,3.0,ESE,22,1011.1
,2024-03-15,22.4,33.6,0.0,,10.9,E,57.0,21:16,25.5,65.0,5.0,E,22,1012.7,32.6,32.0,,ENE,19,1009.3
,2024-03-16,22.2,36.4,0.0,,11.2,E,41.0,00:17,28.0,54.0,,E,13,1012.7,35.3,20.0,,SW,17,1008.7
,2024-03-17,14.5,31.2,0.0,,10.6,SW,39.0,16:07,22.2,78.0,,N,7,1009.8,28.4,49.0,,SW,24,1007.0
,2024-03-18,15.9,31.5,0.0,,10.6,SE,57.0,21:38,20.8,63.0,,SSW,13,1013.1,29.5,39.0,,SW,31,1010.7
,2024-03-19,15.1,27.5,0.0,,11.0,ESE,61.0,15:01,18.7,48.0,,ESE,31,1023.2,26.7,22.0,,ESE,31,1019.7
,2024-03-20,15.7,29.2,0.0,,11.0,E,52.0,05:47,20.1,44.0,,ENE,20,1023.9,28.5,23.0,,E,24,1019.2
,2024-03-21,18.5,31.2,0.0,,11.1,E,56.0,22:38,22.7,36.0,,ENE,17,1022.4,31.0,23.0,,S,17,1018.2
,2024-03-22,17.0,29.4,0.0,,11.1,E,61.0,00:38,22.0,44.0,,ENE,31,1024.2,28.8,23.0,,ESE,33,1021.6
,2024-03-23,16.7,28.4,0.0,,11.1,E,56.0,00:21,21.1,43.0,,E,30,1028.4,27.4,23.0,,E,35,1024.4
,2024-03-24,15.7,28.8,0.0,,11.1,ESE,43.0,00:05,21.7,44.0,,ENE,20,1027.1,28.6,20.0,,ENE,19,1021.4
,2024-03-25,11.9,30.4,0.0,,10.9,N,31.0,11:11,23.2,31.0,,NE,17,1020.6,29.9,17.0,,W,15,1016.0
,2024-03-26,8.1,33.9,0.0,,11.4,SSW,50.0,12:30,25.8,24.0,,NE,7,1020.2,32.0,13.0,,SW,22,1017.8
,2024-03-27,9.7,36.4,0.0,,11.4,SW,39.0,14:11,27.5,22.0,,NNE,17,1020.5,34.2,14.0,,SW,28,1017.5
,2024-03-28,10.3,33.4,0.0,,11.0,NE,35.0,06:57,28.2,22.0,,NNE,20,1018.1,29.0,31.0,,SW,24,1016.4
,2024-03-29,11.2,29.6,0.0,,9.3,W,35.0,13:48,19.1,78.0,,NNW,2,1019.0,27.8,33.0,1.0,W,20,1017.0
,2024-03-30,14.2,32.6,0.0,,7.9,WSW,35.0,14:24,21.8,76.0,,S,6,1021.3,28.6,40.0,,SW,24,1019.5
