Unnamed: 0,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-03-1,19.5,33.8,0.0,9.4,11.6,ENE,44.0,17:34,24.0,51,1.0,NE,15,1013.3,33.1,30,1.0,E,11,1010.1
,2024-03-2,20.0,31.0,0.0,11.0,3.8,NE,52.0,12:21,23.8,56,3.0,ENE,20,1011.7,28.4,50,7.0,NE,11,1007.6
,2024-03-3,23.7,34.6,0.0,7.8,10.2,NE,52.0,00:09,29.4,52,2.0,NNE,24,1009.4,33.2,47,6.0,N,7,1007.3
,2024-03-4,21.1,27.0,0.0,7.2,6.2,S,41.0,17:35,22.9,80,8.0,S,15,1013.6,25.9,62,2.0,SSW,17,1013.4
,2024-03-5,18.3,32.3,0.0,6.2,11.7,NNE,35.0,21:39,22.7,60,1.0,E,11,1018.6,31.8,40,0.0,S,11,1014.4
,2024-03-6,18.1,32.9,0.0,9.4,11.6,ENE,37.0,08:05,22.4,61,1.0,NE,13,1017.9,31.9,39,1.0,NE,15,1013.6
,2024-03-7,21.8,36.0,0.0,9.4,11.6,NE,31.0,10:40,27.5,54,0.0,NE,13,1013.1,35.1,32,4.0,NE,7,1007.8
,2024-03-8,23.0,27.6,0.4,8.2,8.1,S,46.0,12:59,24.6,84,7.0, ,Calm,1007.4,22.7,76,7.0,S,26,1007.7
,2024-03-9,14.1,26.1,1.2,6.4,11.5,S,41.0,17:09,17.9,49,0.0,ESE,19,1016.8,23.0,46,0.0,ESE,22,1013.7
,2024-03-10,15.5,28.0,0.0,8.4,11.3,SE,35.0,15:42,20.3,50,0.0,ENE,13,1017.7,25.0,49,0.0,SE,19,1013.9
,2024-03-11,16.6,31.3,0.0,7.0,11.3,ESE,35.0,22:06,21.7,55,0.0,E,11,1017.1,30.7,31,0.0,E,9,1012.8
,2024-03-12,18.7,30.7,0.0,9.2,4.2,ENE,31.0,04:55,22.3,57,7.0,E,7,1015.1,28.8,44,,ESE,11,1011.1
,2024-03-13,20.4,31.5,0.0,5.2,8.1,ENE,30.0,00:41,23.8,63,5.0,ENE,11,1014.0,29.3,48,6.0,E,13,1010.6
,2024-03-14,20.5,29.4,0.0,6.8,9.7,ENE,33.0,08:59,24.2,66,2.0,ENE,17,1014.7,28.6,52,5.0,NE,13,1012.0
,2024-03-15,21.0,32.2,0.0,8.0,10.9,ENE,30.0,00:28,24.0,70,4.0,ENE,13,1013.4,30.6,46,3.0,E,13,1010.1
,2024-03-16,21.2,33.5,0.0,6.2,11.2,S,31.0,17:54,26.0,61,0.0,ENE,9,1013.1,31.5,39,1.0,SSW,15,1009.8
,2024-03-17,16.2,28.9,0.0,6.8,10.6,S,35.0,19:39,24.6,63,0.0,S,2,1010.0,25.4,63,3.0,SW,15,1007.6
,2024-03-18,17.6,27.7,0.0,7.6,10.6,S,43.0,15:16,20.7,64,1.0,SSE,13,1013.6,25.5,54,1.0,S,24,1012.0
,2024-03-19,14.7,26.7,0.0,8.0,11.0,E,39.0,04:11,18.3,49,0.0,ENE,17,1023.9,26.1,24,0.0,NE,15,1020.6
,2024-03-20,14.3,29.1,0.0,8.8,11.0,NNE,48.0,18:06,19.8,48,0.0,NNE,13,1024.6,28.7,27,0.0,NNE,11,1019.8
,2024-03-21,15.7,30.0,0.0,6.8,11.1,,,,21.7,41,0.0,NNE,9,1022.8,29.0,29,0.0,SSW,15,1019.0
,2024-03-22,16.9,28.7,0.0,9.2,11.1,E,39.0,22:36,21.1,51,0.0,ENE,17,1025.4,28.3,28,0.0,E,13,1022.4
,2024-03-23,16.0,27.9,0.0,9.2,11.1,ESE,35.0,15:02,20.7,49,0.0,E,15,1029.0,26.9,29,0.0,SE,17,1025.2
,2024-03-24,15.6,28.7,0.0,8.4,11.1,ESE,33.0,13:05,20.6,52,1.0,ENE,13,1027.9,27.8,24,0.0,E,13,1021.9
,2024-03-25,11.4,29.3,0.0,6.4,10.9,NNE,31.0,10:04,21.8,40,0.0,NE,9,1021.1,28.3,26,0.0,SW,11,1016.8
,2024-03-26,10.8,31.7,0.0,5.6,11.4,WSW,22.0,12:17,23.0,36,1.0,NE,7,1020.6,30.8,16,0.0,WSW,13,1018.5
,2024-03-27,12.2,34.3,0.0,9.0,11.4,SSW,28.0,17:38,25.0,32,0.0,NNE,6,1021.1,31.9,19,0.0,SW,15,1018.2
,2024-03-28,12.5,28.8,0.0,7.4,11.0,SW,33.0,13:22,25.4,35,0.0,NNE,2,1018.5,25.6,52,1.0,SSW,15,1017.2
,2024-03-29,12.5,26.9,0.0,6.0,9.3,SW,28.0,14:53,19.0,78,5.0,S,4,1019.3,25.2,42,6.0,SW,15,1017.8
,2024-03-30,16.6,28.5,0.0,4.6,7.9,SSW,30.0,16:32,21.1,80,5.0,SE,7,1021.8,26.1,57,7.0,SW,15,1020.4
,2024-03-31,16.5,29.8,0.0,4.6,10.8,ESE,48.0,22:18,21.1,55,1.0,SE,11,1025.7,28.8,32,3.0,SSE,13,1022.8
,2024-04-1,15.0,27.6,0.0,2.6,10.5,ESE,35.0,03:18,18.5,51,2.0,E,17,1026.9,26.9,31,1.0,SE,9,1022.6
,2024-04-2,14.3,29.5,0.0,10.2,10.7,ENE,28.0,07:36,18.5,54,0.0,E,11,1026.2,28.8,29,0.0,SSE,6,1022.6
,2024-04-3,14.2,29.8,0.0,6.6,10.6,NE,31.0,10:15,19.8,48,1.0,E,9,1026.7,29.4,25,1.0,ESE,11,1023.1
,2024-04-4,16.2,30.6,0.0,7.2,7.7,E,48.0,22:00,21.9,35,7.0,NE,11,1023.9,30.5,22,6.0,ENE,9,1019.2
,2024-04-5,16.1,33.6,0.0,7.4,10.7,NE,31.0,08:39,24.2,34,6.0,NE,13,1017.8,32.7,13,1.0,SW,11,1014.0
,2024-04-6,15.9,34.5,0.0,11.8,7.4,NE,24.0,14:09,23.1,33,7.0,ENE,6,1015.8,33.2,21,5.0,WSW,9,1012.7
,2024-04-7,16.8,36.5,0.0,8.2,10.5,E,44.0,22:25,24.0,35,6.0,ESE,7,1015.3,35.6,12,3.0,ESE,13,1012.4
,2024-04-8,17.1,29.2,0.0,9.6,10.5,ENE,39.0,06:59,21.3,54,0.0,E,15,1022.8,28.6,32,0.0,E,15,1020.4
,2024-04-9,14.6,27.4,0.0,8.4,10.1,ENE,50.0,16:55,18.6,56,2.0,E,13,1024.9,26.9,31,5.0,ESE,11,1020.6
,2024-04-10,15.4,28.1,0.0,7.2,10.6,NE,31.0,09:48,20.2,48,0.0,ENE,11,1023.4,27.6,27,0.0,E,11,1020.1
,2024-04-11,16.0,28.5,0.0,8.2,10.5,E,31.0,00:23,20.2,42,0.0,ENE,13,1023.1,27.6,27,1.0,E,9,1019.5
,2024-04-12,15.7,26.4,0.0,7.2,5.7,ENE,30.0,00:52,20.9,52,3.0,ENE,11,1021.0,23.0,67,7.0,WSW,2,1017.5
,2024-04-13,15.0,26.7,1.2,4.2,9.9,SW,31.0,16:36,19.8,59,3.0,ENE,7,1019.7,25.1,43,4.0,SSW,15,1016.8
,2024-04-14,10.7,26.6,0.0,6.0,9.0,SSW,31.0,15:56,19.7,61,0.0,SE,6,1022.6,25.0,41,6.0,SSW,17,1020.9
,2024-04-15,13.3,28.8,0.0,4.0,10.5,SSW,28.0,14:59,20.7,60,0.0,E,7,1025.2,27.3,35,2.0,S,20,1021.8
,2024-04-16,15.4,30.8,0.0,5.0,10.5,NE,31.0,11:47,22.4,54,2.0,E,9,1025.0,30.0,25,0.0,ENE,11,1021.0
,2024-04-17,18.3,32.6,0.0,7.6,10.5,E,31.0,03:58,23.1,46,0.0,NE,15,1025.5,31.9,22,0.0,ESE,11,1021.3
,2024-04-18,17.7,33.2,0.0,9.0,10.6,ENE,30.0,05:52,24.5,39,0.0,ENE,13,1025.5,32.6,19,1.0,ENE,9,1022.1
,2024-04-19,13.3,30.0,0.0,8.6,10.5,NE,24.0,08:39,22.3,35,0.0,NNE,17,1025.3,29.7,21,0.0,E,7,1021.5
,2024-04-20,11.7,31.0,0.0,6.4,10.2,NE,31.0,09:02,22.9,32,1.0,NE,17,1024.6,30.6,15,1.0,E,6,1020.9
,2024-04-21,9.9,31.1,0.0,5.4,10.2,WSW,30.0,14:19,21.9,32,0.0,NNE,7,1021.8,27.9,26,0.0,WSW,13,1018.7
,2024-04-22,14.7,23.3,0.0,6.0,9.4,SSE,37.0,13:12,19.3,73,2.0,SSE,15,1023.8,21.6,49,6.0,ESE,15,1023.2
,2024-04-23,11.6,22.4,0.0,4.8,9.4,ENE,39.0,10:22,15.4,52,3.0,E,9,1031.4,21.6,30,7.0,E,15,1026.5
