Unnamed: 0,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-01-1,17.4,25.7,0.0,,,SSW,48.0,19:25,22.9,54,,SSE,11.0,1017.0,23.9,60,,SW,30.0,1015.0
,2024-01-2,17.2,29.8,0.0,,,ESE,56.0,23:30,22.9,58,,SE,17.0,1016.4,28.3,40,,SE,24.0,1014.4
,2024-01-3,18.9,32.3,0.0,,,ESE,48.0,07:48,23.3,50,,E,26.0,1020.0,31.9,25,,SE,20.0,1016.1
,2024-01-4,16.4,32.2,0.0,,,ESE,52.0,02:29,22.6,45,,E,22.0,1020.9,30.6,26,,ESE,24.0,1016.5
,2024-01-5,16.8,30.2,0.0,,,SSW,46.0,15:15,23.2,49,,E,15.0,1019.0,25.9,56,,SSW,24.0,1015.6
,2024-01-6,18.0,31.7,0.0,,,SSW,44.0,15:16,25.0,49,,E,19.0,1016.1,25.9,64,,SSW,30.0,1012.0
,2024-01-7,18.8,35.2,0.0,,,SSW,41.0,14:53,29.4,38,,E,19.0,1013.4,29.1,52,,SSW,24.0,1010.3
,2024-01-8,21.9,34.2,0.0,,,SSW,50.0,14:46,30.5,32,,ESE,6.0,1010.9,26.5,65,,SSW,30.0,1008.4
,2024-01-9,17.8,27.5,0.0,,,SSW,54.0,17:02,22.8,59,,SSW,24.0,1011.8,25.1,65,,SSW,35.0,1010.0
,2024-01-10,17.7,,0.0,,,,,,23.6,49,,ESE,13.0,1013.5,24.5,60,,,,1010.1
,2024-01-11,18.8,26.9,,,,,37.0,16:00,24.6,49,,,,1010.2,25.5,64,,,,1007.3
,2024-01-12,19.4,36.6,0.0,,,E,44.0,23:19,25.8,53,,,,1009.8,35.4,34,,ESE,15.0,1005.7
,2024-01-13,23.3,39.5,11.4,,,E,48.0,07:19,29.4,47,,E,24.0,1007.7,33.4,43,,SSW,17.0,1004.0
,2024-01-14,22.5,29.8,0.0,,,WNW,20.0,10:04,26.0,78,,NW,11.0,1005.3,28.4,66,,SW,13.0,1003.3
,2024-01-15,21.7,33.1,0.0,,,NW,24.0,10:08,24.9,79,,NNW,15.0,1006.7,26.3,73,,W,13.0,1004.4
,2024-01-16,21.0,35.5,0.0,,,ENE,46.0,19:56,32.9,45,,E,13.0,1003.9,27.0,72,,NW,17.0,1003.0
,2024-01-17,22.8,28.1,0.0,,,W,28.0,16:45,25.5,82,,WNW,13.0,1005.4,26.6,69,,WNW,19.0,1004.5
,2024-01-18,21.4,26.6,0.0,,,SW,37.0,13:56,24.1,57,,WSW,17.0,1008.4,24.2,66,,WSW,20.0,1008.2
,2024-01-19,21.1,27.5,0.0,,,SSW,41.0,14:26,24.4,60,,SW,11.0,1009.5,25.1,62,,SW,26.0,1008.1
,2024-01-20,18.3,30.5,0.0,,,SSW,39.0,13:43,27.3,49,,ENE,9.0,1009.7,27.0,62,,SSW,24.0,1007.7
,2024-01-21,20.7,27.0,0.0,,,SW,46.0,14:41,25.2,77,,SSW,17.0,1008.6,25.4,71,,SSW,24.0,1007.6
,2024-01-22,17.0,27.2,0.0,,,SSW,41.0,00:13,23.8,53,,S,13.0,1011.8,24.9,60,,SW,30.0,1010.2
,2024-01-23,17.2,26.2,0.0,,,SW,46.0,16:47,24.3,47,,SE,11.0,1013.7,24.3,58,,SW,26.0,1011.0
,2024-01-24,17.8,26.8,0.0,,,SSW,52.0,19:38,23.0,51,,SSE,19.0,1014.0,25.4,60,,SW,28.0,1010.8
,2024-01-25,16.9,26.4,0.0,,,SSW,57.0,17:36,21.6,52,,SE,17.0,1015.7,24.1,58,,SSW,39.0,1012.4
,2024-01-26,16.6,28.4,0.0,,,SW,44.0,16:05,22.2,47,,E,17.0,1019.0,24.0,55,,SSW,28.0,1014.8
,2024-01-27,17.5,31.1,0.0,,,ENE,41.0,07:26,25.3,37,,E,20.0,1013.7,27.4,51,,SSW,19.0,1008.4
,2024-01-28,19.3,25.9,0.0,,,SSW,43.0,16:13,22.2,64,,SSW,20.0,1012.1,23.9,71,,SW,26.0,1011.0
,2024-01-29,17.2,27.1,0.0,,,SSW,50.0,17:30,23.0,47,,E,15.0,1017.4,23.5,62,,SSW,30.0,1015.0
,2024-01-30,18.2,35.1,0.0,,,SSW,43.0,17:36,25.8,40,,ENE,17.0,1018.3,26.2,61,,SSW,28.0,1014.4
,2024-01-31,19.8,38.0,0.0,,,SSW,39.0,15:27,33.3,28,,NE,9.0,1015.9,31.5,42,,SSW,26.0,1013.2
,2024-02-1,22.3,38.2,0.0,,,SSW,35.0,17:21,33.1,31,,W,4.0,1013.3,33.4,41,,SW,13.0,1011.2
,2024-02-2,21.6,34.5,0.0,,,SSW,48.0,12:56,27.5,55,,SW,9.0,1011.2,30.8,40,,SSW,24.0,1008.5
,2024-02-3,22.1,28.2,0.0,,,SSW,57.0,19:25,25.9,63,,SSW,20.0,1009.9,24.6,72,,SSW,31.0,1008.4
,2024-02-4,15.6,24.4,0.2,,,SSW,56.0,17:39,19.9,54,,SSE,15.0,1017.1,22.7,52,,SSW,33.0,1014.6
,2024-02-5,15.2,28.1,0.0,,,SSW,48.0,14:47,19.9,45,,SE,13.0,1021.5,23.6,53,,SSW,28.0,1018.1
,2024-02-6,17.3,31.7,0.0,,,ENE,44.0,09:37,22.4,40,,E,20.0,1023.0,24.5,59,,SSW,28.0,1017.9
,2024-02-7,19.3,36.7,0.0,,,SSW,43.0,16:49,27.0,30,,ENE,17.0,1019.6,28.4,44,,SSW,22.0,1015.9
,2024-02-8,20.6,39.5,0.0,,,SSW,39.0,17:00,32.4,17,,ENE,15.0,1017.5,33.5,25,,SSW,20.0,1014.6
,2024-02-9,23.5,40.9,0.0,,,ENE,41.0,08:54,33.5,17,,ENE,22.0,1017.3,36.1,18,,SW,20.0,1014.2
,2024-02-10,24.2,40.3,0.0,,,S,39.0,19:15,31.4,23,,NW,9.0,1016.8,32.1,36,,SSW,22.0,1013.5
,2024-02-11,20.9,28.9,0.0,,,SSW,30.0,16:57,25.8,76,,SW,9.0,1014.5,27.6,60,,SSW,19.0,1011.7
