conversation_id_str;created_at;favorite_count;id_str;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username;source_file;suburb;time;status;area
7,60E+19;Mon Mar 04 02:49:05 +0000 2024;2;1,76E+18;;en;NEERABUP and NOWERGUP;0;0;0;https://x.com/dfes_wa/status/1764483170911900120;364678681;dfes_wa;Wanneroo_tweets.csv;Wanneroo    ;10:49 AM;BURNT;CITY OF WANNEROO
7,60E+19;Sun Mar 03 07:58:38 +0000 2024;0;1,76E+18;;en;NEERABUP and NOWERGUP;0;0;2;https://x.com/dfes_wa/status/1764198684244533551;364678681;dfes_wa;Wanneroo_tweets.csv;Wanneroo    ;3:58 PM;ADVICE;CITY OF WANNEROO
7,60E+19;Sun Mar 03 02:05:18 +0000 2024;1;1,76E+18;;en;NEERABUP and NOWERGUP;0;0;0;https://x.com/dfes_wa/status/1764109764760654251;364678681;dfes_wa;Wanneroo_tweets.csv;Wanneroo    ;10:05 AM;ADVICE;CITY OF WANNEROO
7,60E+19;Fri Mar 01 03:06:46 +0000 2024;1;1,76E+18;;en;NEERABUP and NOWERGUP;0;0;0;https://x.com/dfes_wa/status/1763400457270305030;364678681;dfes_wa;Wanneroo_tweets.csv;Wanneroo    ;11:06 AM;ADVICE;CITY OF WANNEROO
7,60E+19;Sat Mar 02 07:22:47 +0000 2024;0;1,76E+18;;en;NEERABUP and NOWERGUP;0;0;0;https://x.com/dfes_wa/status/1763827275068563462;364678681;dfes_wa;Wanneroo_tweets.csv;Wanneroo    ;3:22 PM;ADVICE;CITY OF WANNEROO
7,60E+19;Sat Mar 02 02:23:32 +0000 2024;0;1,76E+18;;en;NEERABUP and NOWERGUP;0;0;0;https://x.com/dfes_wa/status/1763751966843469869;364678681;dfes_wa;Wanneroo_tweets.csv;Wanneroo    ;10:23 AM;ADVICE;CITY OF WANNEROO
7,60E+19;Fri Mar 01 07:57:17 +0000 2024;0;1,76E+18;;en;NEERABUP and NOWERGUP;0;0;0;https://x.com/dfes_wa/status/1763473570376949946;364678681;dfes_wa;Wanneroo_tweets.csv;Wanneroo    ;3:57 PM;ADVICE;CITY OF WANNEROO
8,70E+19;Sun Dec 22 10:38:17 +0000 2024;3;1,87E+18;;en;;0;0;1;https://x.com/dfes_wa/status/1870780897169137813;364678681;dfes_wa;Two_Rocks_tweets.csv;Two Rocks   ;6:38 PM;WATCH AND ACT;
8,70E+19;Sun Dec 22 05:02:05 +0000 2024;3;1,87E+18;;en;;0;0;1;https://x.com/dfes_wa/status/1870696285944332492;364678681;dfes_wa;Two_Rocks_tweets.csv;Two Rocks   ;1:02 PM;EMERGENCY WARNING;
8,70E+19;Sun Dec 22 08:31:46 +0000 2024;2;1,87E+18;;en;;0;1;1;https://x.com/dfes_wa/status/1870749057511252230;364678681;dfes_wa;Two_Rocks_tweets.csv;Two Rocks   ;4:31 PM;WATCH AND ACT;
8,70E+19;Sun Dec 22 06:49:37 +0000 2024;2;1,87E+18;;en;;0;0;1;https://x.com/dfes_wa/status/1870723350647242967;364678681;dfes_wa;Two_Rocks_tweets.csv;Two Rocks   ;2:49 PM;WATCH AND ACT;
7,80E+19;Tue Apr 02 06:52:57 +0000 2024;1;1,78E+18;;en;John Forrest National Park;0;0;0;https://x.com/dfes_wa/status/1775053792712819198;364678681;dfes_wa;Swan_View_tweets.csv;Swan View   ;2:52 PM;ADVICE;SHIRE OF MUNDARING
7,80E+19;Wed Apr 03 08:01:43 +0000 2024;1;1,78E+18;;en;John Forrest National Park;0;0;0;https://x.com/dfes_wa/status/1775433483521024202;364678681;dfes_wa;Swan_View_tweets.csv;Swan View   ;4:01 PM;BURNT;SHIRE OF MUNDARING
8,60E+19;Sat Nov 23 19:55:28 +0000 2024;1;1,86E+18;;en;;0;0;0;https://x.com/dfes_wa/status/1860411868080407035;364678681;dfes_wa;Upper_Swan_tweets.csv;Upper Swan   ;3:55 AM;ADVICE;
8,60E+19;Sat Nov 23 21:46:49 +0000 2024;2;1,86E+18;;en;;0;0;0;https://x.com/dfes_wa/status/1860439890573558209;364678681;dfes_wa;Upper_Swan_tweets.csv;Upper Swan   ;5:46 AM;ADVICE;
8,70E+19;Sun Dec 15 06:41:34 +0000 2024;2;1,87E+18;;en;;0;0;1;https://x.com/dfes_wa/status/1868184609726562380;364678681;dfes_wa;The_Lakes_tweets.csv;The Lakes   ;2:41 PM;WATCH AND ACT;
8,70E+19;Sun Dec 15 08:41:20 +0000 2024;2;1,87E+18;;en;;0;0;1;https://x.com/dfes_wa/status/1868214747654758831;364678681;dfes_wa;The_Lakes_tweets.csv;The Lakes   ;4:41 PM;WATCH AND ACT;
8,60E+19;Mon Nov 25 05:05:45 +0000 2024;2;1,86E+18;;en;;0;0;2;https://x.com/dfes_wa/status/1860912738555572365;364678681;dfes_wa;The_Lakes_tweets.csv;The Lakes   ;1:05 PM;WATCH AND ACT;
